FIPS,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured 1,Preventable Hospitalization Rate,% With Annual Mammogram,% Vaccinated,High School Graduation Rate,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Ratio,% Single-Parent Households,Social Association Rate,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,Life Expectancy,Age-Adjusted Death Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,Motor Vehicle Mortality Rate,% Insufficient Sleep,% Uninsured 2,% Uninsured 3,Average Grade Performance 1,Average Grade Performance 2,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation Index 2,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,Average Traffic Volume per Meter of Major Roadways,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,Population,% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,Employed 2015,Employed 2020,Employment Growth Rate,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Other Primary Care Provider Ratio,Employment Growth Band,State_Alabama,State_Alaska,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Delaware,State_District of Columbia,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_Nevada,State_New Hampshire,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_Rhode Island,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming
30079,1334.7578097578098,8582.946647946648,12,3.2,3.4,8.146293245469522,13,35,5.7,24,3.0,19,67.0,401.0706020066886,29.889521258788083,11.0,3007.0,39.0,28.0,100.0,60,18.0,492.0,3.7,24.0,99028.0,26400.0,3.8,5.0,0.0,214.0,86.91321499013807,5.4,0,7,55.0,21.0,77.4654610622352,493.0,10,11,9,183.94042925974597,9,37.0,18.992216456634544,28,12.0,9.0,3.0405426975259338,3.0061993517017878,42754.0,48.0,30.809745610892158,18.406893652795294,15.57277628032345,8,469,87,17.0,4.0,1087,17.3,31.8,0.2,1.1,0.7,0.0,4.0,90.4,0,49.1,100.0,543.0,544.0,0.1841620626151013,1109.0,1087.0,1745.4004120879122,544.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30081,548.0,6658.0,14,3.7,4.0,7.0,15,27,8.2,24,72.0,19,56.0,171.5,15.0,13.0,3193.0,38.0,37.0,95.0,64,835.0,19913.0,4.2,23.0,89351.0,20589.0,4.3,24.0,10.6,198.0,94.0,8.7,0,18,71.0,32.0,79.7,294.0,12,12,7,41.0,12,2.0,15.0,27,15.0,7.0,3.2,3.1,50055.0,46.0,18.0,28.0,26.0,46,13021,76,2309.0,14.0,43172,19.1,25.8,0.4,1.2,0.6,0.1,3.6,92.7,0,50.4,84.6,17159.0,19020.0,10.845620374147677,1637.0,2056.0,480.0,1542.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30083,144.0,7790.0,12,3.1,3.2,6.0,14,31,8.1,28,61.0,23,60.0,280.8,35.0,11.0,2268.0,40.0,50.0,86.0,61,180.0,5889.0,3.1,10.0,118828.0,31747.0,3.7,23.0,18.1,282.0,79.0,6.2,0,11,78.0,15.0,78.2,378.0,9,10,8,183.94042925974597,10,9.0,34.0,30,12.0,8.0,3.2,3.0061993517017878,67242.0,24.0,12.0,35.0,21.0,150,2853,63,239.0,6.0,10913,25.3,15.0,0.5,2.4,0.5,0.1,5.3,89.4,2,47.8,44.2,5904.0,5573.0,-5.606368563685637,2208.0,2183.0,839.0,1364.0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30085,250.0,19912.0,23,5.1,4.8,8.0,31,35,4.8,29,49.0,22,57.0,1648.9,86.0,20.0,3463.0,39.0,28.0,68.0,51,204.0,4461.0,4.6,29.0,96571.0,14295.0,6.8,48.0,4.5,611.0,156.0,6.3,0,9,76.0,20.0,68.3,794.0,17,16,17,183.94042925974597,17,31.0,33.0,32,25.0,11.0,2.6,3.0061993517017878,40179.0,85.0,36.0,28.0,15.57277628032345,68,1938,61,187.0,6.0,11059,33.5,11.4,0.3,60.6,0.6,0.0,4.2,33.4,0,50.0,39.7,3575.0,3856.0,7.86013986013986,2775.0,1843.0,527.0,737.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30087,165.0,14406.0,17,4.1,4.0,9.0,21,32,7.4,25,55.0,21,48.0,1535.5,51.0,14.0,4214.0,35.0,27.0,74.0,61,206.0,3893.0,5.3,22.0,100223.0,21223.0,4.7,27.0,15.1,138.0,138.0,6.1,1,14,74.0,14.0,73.3,555.0,13,13,13,183.94042925974597,13,10.0,60.0,30,16.0,9.0,2.5,3.0061993517017878,57674.0,61.0,79.0,30.0,15.57277628032345,18,2236,71,351.0,12.0,9063,29.0,15.8,0.4,38.9,1.1,0.0,4.9,54.9,0,49.6,100.0,4002.0,4014.0,0.2998500749625187,1850.0,2266.0,412.0,755.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30089,215.0,9974.0,17,4.5,4.1,8.0,18,25,6.0,29,83.0,18,62.0,145.2,21.0,16.0,2860.0,33.0,22.0,91.0,49,304.0,4765.0,6.4,25.0,72968.0,17734.0,4.1,21.0,6.8,225.0,99.0,9.5,0,18,65.0,26.0,77.5,409.0,14,14,11,183.94042925974597,15,22.0,42.0,27,17.0,11.0,3.0405426975259338,3.0061993517017878,39861.0,75.0,49.0,15.0,19.0,12,3791,77,709.0,15.0,11844,17.5,31.2,0.3,4.2,0.5,0.1,3.2,90.0,0,48.8,100.0,4091.0,4128.0,0.9044243461256416,1301.0,2961.0,329.0,2369.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30091,1334.7578097578098,8582.946647946648,12,3.3,3.4,7.0,15,38,7.7,33,64.0,22,50.0,401.0706020066886,27.0,11.0,4323.0,39.0,50.0,97.0,68,42.0,1769.0,2.4,13.0,109397.0,24182.0,4.5,10.0,23.1,306.0,117.0,6.2,0,9,71.0,20.0,81.3,257.0,10,11,8,183.94042925974597,10,12.0,18.992216456634544,25,12.0,9.0,3.0405426975259338,3.0061993517017878,51690.0,29.0,11.0,18.406893652795294,15.57277628032345,61,1275,78,193.0,12.0,3424,20.4,22.6,0.5,2.2,0.5,0.0,4.8,90.2,0,49.3,100.0,1904.0,1650.0,-13.340336134453782,1735.0,3424.0,685.0,1141.0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30093,547.0,8686.0,16,4.1,3.9,9.0,17,25,7.8,23,63.0,21,22.0,355.5,28.0,10.0,3454.0,38.0,46.0,86.0,62,692.0,17238.0,4.0,20.0,89943.0,15447.0,5.8,34.0,9.5,318.0,101.0,8.0,0,18,80.0,9.0,76.6,436.0,12,13,8,72.0,14,4.0,14.0,28,11.0,5.0,3.5,3.2,47302.0,51.0,31.0,36.0,25.0,165,10135,67,2363.0,16.0,34993,20.3,19.1,0.7,2.3,0.8,0.1,5.1,89.7,0,49.8,11.4,16497.0,16221.0,-1.673031460265503,1384.0,1060.0,185.0,875.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30095,104.0,4106.0,12,3.2,3.3,9.0,13,25,8.6,23,36.0,21,17.0,191.1,16.0,8.0,1842.0,49.0,36.0,92.0,70,168.0,4932.0,3.4,11.0,115152.0,30130.0,3.8,12.0,11.7,211.0,91.0,5.3,0,11,66.0,38.0,81.7,239.0,10,11,9,88.0,9,5.0,34.0,27,9.0,6.0,3.2,3.0061993517017878,66226.0,24.0,12.0,32.0,21.0,41,2951,79,292.0,8.0,9534,21.8,22.7,0.2,1.2,0.9,0.0,4.4,92.1,0,48.8,100.0,4487.0,4453.0,-0.7577445954981057,4710.0,3178.0,1907.0,2384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30097,1334.7578097578098,8582.946647946648,12,3.3,3.4,6.0,14,28,8.2,21,71.0,21,20.0,401.0706020066886,29.889521258788083,10.0,1308.0,43.0,18.0,90.0,55,54.0,1772.0,3.0,12.0,100191.0,24641.0,4.1,23.0,13.5,96.0,82.0,4.8,0,14,69.0,20.0,82.8,285.0,10,11,5,0.0,10,7.0,18.992216456634544,26,11.0,8.0,3.1,3.0061993517017878,52747.0,22.0,30.809745610892158,18.406893652795294,15.57277628032345,48,1151,74,178.0,12.0,3710,19.8,26.6,0.4,1.1,0.6,0.0,2.5,93.5,0,48.9,100.0,1613.0,1781.0,10.415375077495352,1846.0,3710.0,1237.0,928.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
